"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"1","KRAS","APC",1.20244116557908e-11,3.93587569934096,2226,77,50,367,3.3818657781912e-10,"Co_Occurence","APC, KRAS","50/444"
"2","MSH6","KMT2D",1.06372211231995e-06,24.0573165904592,2662,30,6,22,2.81573500319988e-05,"Co_Occurence","KMT2D, MSH6","6/52"
"3","KRAS","SMAD4",1.21617925253726e-06,4.07249627703689,2269,34,24,393,3.04044813134315e-05,"Co_Occurence","KRAS, SMAD4","24/427"
"4","BRAF","KRAS",5.21245362821158e-06,0,2227,417,0,76,0.000123452849089222,"Mutually_Exclusive","BRAF, KRAS","0/493"
"5","CDKN2A","HRAS",5.60801659622967e-05,7.32995225318107,2590,31,8,91,0.00126180373415168,"Co_Occurence","CDKN2A, HRAS","8/122"
"6","CTNNB1","TP53",0.000187681918807247,0.261673465838315,1723,941,7,49,0.00402175540301244,"Mutually_Exclusive","CTNNB1, TP53","7/990"
"7","BRAF","TP53",0.000852790138176352,0.377280570782715,1709,935,13,63,0.0174434346445163,"Mutually_Exclusive","BRAF, TP53","13/998"
"8","APC","KMT2D",0.00110142443888894,5.15152736183924,2564,29,7,120,0.0215496085869576,"Co_Occurence","APC, KMT2D","7/149"
"9","SMAD4","CTRC",0.00196162679490079,8.86778138352807,2640,22,4,54,0.0367805024043898,"Co_Occurence","CTRC, SMAD4","4/76"
"10","KMT2D","NF1",0.00220962039938938,8.45808284653904,2645,39,4,32,0.0397731671890089,"Co_Occurence","KMT2D, NF1","4/71"
"11","HRAS","KRAS",0.00264869419394314,0,2264,417,0,39,0.045842784125939,"Mutually_Exclusive","HRAS, KRAS","0/456"
"12","NRAS","KRAS",0.00281878887546558,0,2263,417,0,40,0.046979814591093,"Mutually_Exclusive","KRAS, NRAS","0/457"
"13","APC","TP53",0.00403557748787108,1.71915032942245,1705,888,60,67,0.0632797185624994,"Co_Occurence","APC, TP53","60/955"
"14","PTEN","PIK3CA",0.00407802630736107,2.6672084742658,2392,267,14,47,0.0632797185624994,"Co_Occurence","PIK3CA, PTEN","14/314"
"15","ATP7B","TP53",0.00507403461899102,0.213294920637903,1746,945,3,26,0.0761105192848653,"Mutually_Exclusive","ATP7B, TP53","3/971"
"16","FBXW7","ERBB2",0.00642025256808323,6.13968496376471,2629,57,4,30,0.0931972146979827,"Co_Occurence","ERBB2, FBXW7","4/87"
"17","NRAS","TP53",0.00700952134093867,0.325697576962013,1738,942,6,34,0.0985713938569501,"Mutually_Exclusive","NRAS, TP53","6/976"
"18","TP53","IDH1",0.0077059777825511,0.231319788471102,1748,24,3,945,0.104386830171292,"Mutually_Exclusive","IDH1, TP53","3/969"
"19","ERBB2","KMT2D",0.00788700494627535,5.75222550948533,2627,32,4,57,0.104386830171292,"Co_Occurence","ERBB2, KMT2D","4/89"
"20","ATM","SMAD4",0.00878312893708078,5.551968494641,2627,54,4,35,0.110965532678546,"Co_Occurence","ATM, SMAD4","4/89"
"21","NF1","MSH6",0.00915704988017313,7.93877292508344,2652,25,3,40,0.110965532678546,"Co_Occurence","MSH6, NF1","3/65"
"22","CTRC","GJB2",0.00951682796009329,7.83916689057974,2650,44,3,23,0.110965532678546,"Co_Occurence","CTRC, GJB2","3/67"
"23","TP53","CDKN2A",0.00959744274769421,1.72513807661694,1720,52,47,901,0.110965532678546,"Co_Occurence","CDKN2A, TP53","47/953"
"24","KMT2D","FBXW7",0.00961701283214066,7.76358213869715,2653,31,3,33,0.110965532678546,"Co_Occurence","FBXW7, KMT2D","3/64"
"25","ATM","POLK",0.0101443068400025,7.60514901178268,2652,29,3,36,0.112891651119106,"Co_Occurence","ATM, POLK","3/65"
"26","TP53","HRAS",0.0102856837686296,0.335758150738501,1739,33,6,942,0.112891651119106,"Mutually_Exclusive","HRAS, TP53","6/975"
"27","PIK3CA","GJB2",0.0125161202327266,0,2392,47,0,281,0.134101288207785,"Mutually_Exclusive","GJB2, PIK3CA","0/328"
"28","APC","NF1",0.0135395592714178,3.42281383783512,2556,37,6,121,0.141693062142745,"Co_Occurence","APC, NF1","6/158"
"29","FBXW7","APC",0.0191897941386741,3.62037132517804,2564,122,5,29,0.19625925823644,"Co_Occurence","APC, FBXW7","5/151"
"30","G6PD","KRAS",0.0262921339637916,0,2276,417,0,27,0.262921339637916,"Mutually_Exclusive","G6PD, KRAS","0/444"
"31","CFTR","NF1",0.031083526087506,4.81572138383444,2636,40,3,41,0.304077972595168,"Co_Occurence","CFTR, NF1","3/81"
"32","IDH1","ATP7B",0.0326769350190679,7.88166637783385,2666,27,2,25,0.306980094218363,"Co_Occurence","ATP7B, IDH1","2/52"
"33","APC","ATM",0.032999885623928,3.08249029585517,2559,34,5,122,0.306980094218363,"Co_Occurence","APC, ATM","5/156"
"34","RB1","KRAS",0.0334267213704438,0.160478768870678,2269,416,1,34,0.306980094218363,"Mutually_Exclusive","KRAS, RB1","1/450"
"35","PTEN","CTNNB1",0.0352915236491029,3.51510739168467,2607,52,4,57,0.317623712841927,"Co_Occurence","CTNNB1, PTEN","4/109"
"36","MAP3K1","CTRC",0.0386952308313188,7.14542666881531,2663,24,2,31,0.330295096438309,"Co_Occurence","CTRC, MAP3K1","2/55"
"37","BRCA1","TP53",0.0388933026193504,0.595025938373654,1707,927,21,65,0.330295096438309,"Mutually_Exclusive","BRCA1, TP53","21/992"
"38","APC","MSH6",0.0389014224694008,3.47821419708601,2569,24,4,123,0.330295096438309,"Co_Occurence","APC, MSH6","4/147"
